BOROUGH,ADDRESS,ZIP,# of Tanks,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
MANHATTAN,100 Centre street,10013,1,12/5/21,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,70 East 108th Street,10029,2,10/7/20,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.794429,-73.947434,11,8,17401
MANHATTAN,111 John St,10038,3,11/10/21,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.707671,-74.005764,1,1,1502
BRONX,265 east 161 street,10451,1,12/15/22,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.825928,-73.919514,4,16,18302
MANHATTAN,1056 Fifth Avenue,10028,1,6/24/20,Meets standards,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.782107,-73.959988,8,4,15002
BROOKLYN,210 Joralemon street,11201,1,11/1/23,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.692459,-73.990491,2,33,9
BRONX,100 Dreiser Loop,10475,1,2/19/23,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,,,40.878155,-73.82813,10,12,46201
MANHATTAN,4 Irving Place,10003,2,5/16/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.734163,-73.988627,6,2,50
MANHATTAN,145 West 44 Street,10036,2,12/16/20,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.756667,-73.984396,5,4,119
BRONX,100 Dreiser Loop,10475,1,10/31/22,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,,,40.878155,-73.82813,10,12,46201
MANHATTAN,520 12th Ave,10036,1,11/22/21,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,40.762316,-74.000036,4,3,129
MANHATTAN,1 centre street,10007,6,4/26/22,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40.713001,-74.004181,1,1,29
MANHATTAN,100 Centre Street,10013,4,5/26/22,Meets standards,Violation,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,40.716084,-74.001425,1,1,29
MANHATTAN,812 Fifth Avenue,10065,1,4/26/21,Meets standards,Meets standards,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,40.766378,-73.971459,8,4,11401
