,BOROUGH,ADDRESS,ZIP,TANK_NUM,INSPECTION_DATE,INTERNAL_STRUCTURE,EXTERNAL_STRUCTURE,SEDIMENT,BIOLOGICAL_GROWTH,DEBRIS_INSECTS,RODENT_BIRD,COLIFORM,ECOLI,MEET_STANDARDS,LATITUDE,LONGITUDE,COMMUNITY_BOARD,COUNCIL_DISTRICT,CENSUS_TRACT
6958,MANHATTAN,435 Fifth Avenue,10016.0,1,2022-06-07 00:00:00,N,N,N,N,N,N,N,N,,40.751372,-73.982412,5.0,4.0,82.0
6960,BROOKLYN,35 Pierrepont Street,11201.0,1,2023-07-24 00:00:00,N,N,N,N,N,N,N,N,,40.69603,-73.996008,2.0,33.0,301.0
6962,MANHATTAN,435 W 119 ST,10027.0,1,2022-10-25 00:00:00,N,N,N,N,N,N,N,N,,40.808566,-73.959166,9.0,7.0,20701.0
6963,MANHATTAN,174 EAST 74 STREET,10021.0,1,2020-11-03 00:00:00,N,N,N,N,N,N,N,N,,40.771367,-73.960384,8.0,4.0,128.0
6967,MANHATTAN,119 West 57th Street,10019.0,1,2023-12-12 00:00:00,N,N,N,N,N,N,N,N,,40.764655,-73.977972,5.0,4.0,137.0
6972,MANHATTAN,530 Broadway,10012.0,1,2024-08-17 00:00:00,N,N,N,N,N,N,N,N,,40.723201,-73.998651,2.0,1.0,43.0
6973,MANHATTAN,306 FIFTH AVENUE,10001.0,1,2024-12-06 00:00:00,N,N,N,N,N,N,N,N,,40.746775,-73.985784,5.0,4.0,76.0
6976,MANHATTAN,127 EAST 30 STREET,10016.0,1,2024-09-25 00:00:00,N,N,N,N,N,N,N,N,,40.744049,-73.981934,5.0,2.0,72.0
6977,MANHATTAN,218 West 40th Street,10018.0,1,2024-11-02 00:00:00,N,N,N,N,N,N,N,N,,40.755075,-73.988684,5.0,3.0,113.0
6982,MANHATTAN,30 EAST 33 STREET,10016.0,1,2022-06-04 00:00:00,N,N,N,N,N,N,N,N,,40.746983,-73.983193,5.0,2.0,74.0
6983,BROOKLYN,1407 Linden Boulevard,11212.0,1,2022-12-29 00:00:00,N,N,N,N,N,N,N,N,,40.654643,-73.907568,16.0,42.0,922.0
6985,MANHATTAN,345 East 56th Street,10022.0,1,2023-10-11 00:00:00,N,N,N,N,N,N,N,N,,40.75818,-73.964676,6.0,5.0,108.0
6988,MANHATTAN,30 EAST   10 STREET,10003.0,1,2020-03-06 00:00:00,N,N,N,N,N,N,N,N,Y,40.732451,-73.993166,2.0,2.0,59.0
6989,MANHATTAN,123 East 75th Street,10021.0,1,2023-04-12 00:00:00,N,N,N,N,N,N,N,N,,40.772633,-73.961376,8.0,4.0,128.0
6991,MANHATTAN,25 West 31st Street,10001.0,1,2023-10-25 00:00:00,N,N,N,N,N,N,N,N,,40.747044,-73.987123,5.0,4.0,76.0
6997,MANHATTAN,270 west 89th street,10024.0,1,2024-03-13 00:00:00,N,N,N,N,N,N,N,N,,40.790557,-73.975862,7.0,6.0,175.0
7000,MANHATTAN,203 WEST   81 STREET,10024.0,1,2020-10-27 00:00:00,N,N,N,N,N,N,N,N,Y,40.784596,-73.977655,7.0,6.0,167.0
7005,MANHATTAN,635 Madison Avenue,10022.0,1,2023-09-08 00:00:00,N,N,N,N,N,N,N,N,,40.763767,-73.971269,8.0,4.0,11401.0
7006,MANHATTAN,1623 3 AVENUE,10128.0,1,2020-03-11 00:00:00,N,N,N,N,N,N,N,N,Y,40.782098,-73.951581,8.0,5.0,154.0
7011,MANHATTAN,300 EAST 57TH STREET,10022.0,1,2024-05-02 00:00:00,N,N,N,N,N,N,N,N,,40.759251,-73.965181,6.0,5.0,108.0
7012,MANHATTAN,442 West 57th Street,10019.0,1,2022-06-22 00:00:00,N,N,N,N,N,N,N,N,,40.76845,-73.987,4.0,3.0,139.0
7015,MANHATTAN,89 5th Ave,10003.0,1,2023-10-14 00:00:00,N,N,N,N,N,N,N,N,,40.73758,-73.992458,5.0,2.0,52.0
7018,MANHATTAN,119 EAST   29 STREET,10016.0,1,2020-07-27 00:00:00,N,N,N,N,N,N,N,N,Y,40.743511,-73.982573,5.0,2.0,72.0
7020,MANHATTAN,3 EAST   54 STREET,10022.0,1,2020-02-17 00:00:00,N,N,N,N,N,N,N,N,Y,40.760911,-73.975046,5.0,4.0,102.0
7021,MANHATTAN,286 FIFTH AVENUE,10001.0,1,2020-10-16 00:00:00,N,N,N,N,N,N,N,N,,40.746124,-73.986261,5.0,4.0,76.0
7022,MANHATTAN,16 West 39th Street,10018.0,1,2022-12-19 00:00:00,N,N,N,N,N,N,N,N,,40.751912,-73.983091,5.0,4.0,84.0
7024,BROOKLYN,2483 West 16th Street,11214.0,1,2020-08-27 00:00:00,N,N,N,N,N,N,N,N,,40.586911,-73.985357,13.0,47.0,308.0
7034,MANHATTAN,77 WEST   55 STREET,10019.0,1,2020-11-18 00:00:00,N,N,N,N,N,N,N,N,Y,40.762616,-73.977146,5.0,4.0,104.0
7036,MANHATTAN,345 WEST 58 STREET,10019.0,1,2020-08-17 00:00:00,N,N,N,N,N,N,N,N,,40.767958,-73.983682,4.0,3.0,145.0
7037,BROOKLYN,492 Henry Street,11231.0,1,2021-08-19 00:00:00,N,N,N,N,N,N,N,N,,40.684516,-73.999236,6.0,39.0,63.0
7041,MANHATTAN,240 Central Park South,10019.0,1,2020-11-17 00:00:00,N,N,N,N,N,N,N,N,,40.767307,-73.980134,5.0,4.0,137.0
